Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
01/25/2015 23:34,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,SOUTHERN,NONE,800 Block of MARKET ST,-122.4076335,37.78418935
01/25/2015 23:30,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,MINT ST / MISSION ST,-122.4072588,37.78211765
01/25/2015 23:29,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,PARK,NONE,700 Block of BAKER ST,-122.4417054,37.77785401
01/25/2015 23:26,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,TARAVAL,"ARREST, BOOKED",LAWTON ST / 22ND AV,-122.4906634,37.75735123
01/25/2015 23:05,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
01/25/2015 23:05,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,NORTHERN,NONE,1900 Block of BUCHANAN ST,-122.4301956,37.78792217
01/25/2015 23:00,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Sunday,PARK,NONE,1400 Block of COLE ST,-122.4491066,37.76123343
01/25/2015 23:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Sunday,PARK,NONE,1400 Block of COLE ST,-122.4491066,37.76123343
01/25/2015 23:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,900 Block of HOWARD ST,-122.4064121,37.78025246
01/25/2015 23:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,CENTRAL,NONE,800 Block of BUSH ST,-122.4112592,37.78978942
01/25/2015 23:00,LARCENY/THEFT,GRAND THEFT AUTO STRIP,Sunday,BAYVIEW,NONE,300 Block of SELBY ST,-122.3946722,37.74556236
01/25/2015 23:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,300 Block of SELBY ST,-122.3946722,37.74556236
01/25/2015 23:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,BAYVIEW,NONE,1300 Block of THOMAS AV,-122.3866746,37.72772896
01/25/2015 23:00,NON-CRIMINAL,FOUND PROPERTY,Sunday,BAYVIEW,NONE,1300 Block of THOMAS AV,-122.3866746,37.72772896
01/25/2015 23:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,INGLESIDE,NONE,OCEAN AV / MISSION ST,-122.4353855,37.72391045
01/25/2015 23:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,INGLESIDE,NONE,OCEAN AV / MISSION ST,-122.4353855,37.72391045
01/25/2015 22:59,ROBBERY,ROBBERY ON THE STREET WITH A KNIFE,Sunday,NORTHERN,NONE,EDDY ST / LARKIN ST,-122.4175307,37.78331075
01/25/2015 22:55,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,TARAVAL,"ARREST, BOOKED",700 Block of FONT BL,-122.4835693,37.72306506
01/25/2015 22:45,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,TARAVAL,NONE,1800 Block of OCEAN AV,-122.4616832,37.72518972
01/25/2015 22:30,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,INGLESIDE,NONE,2900 Block of DIAMOND ST,-122.4343639,37.73304489
01/25/2015 22:30,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,SOUTHERN,NONE,7TH ST / HOWARD ST,-122.4093916,37.7779765
01/25/2015 22:30,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,MISSION,NONE,18TH ST / MISSION ST,-122.4193604,37.7618358
01/25/2015 22:20,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,SOUTHERN,NONE,3RD ST / HOWARD ST,-122.4004736,37.78502906
01/25/2015 22:11,WARRANTS,PROBATION SEARCH,Sunday,INGLESIDE,UNFOUNDED,500 Block of SAWYER ST,-122.4155918,37.71067452
01/25/2015 22:11,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,INGLESIDE,UNFOUNDED,500 Block of SAWYER ST,-122.4155918,37.71067452
01/25/2015 22:11,NON-CRIMINAL,FOUND PROPERTY,Sunday,INGLESIDE,UNFOUNDED,500 Block of SAWYER ST,-122.4155918,37.71067452
01/25/2015 22:02,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.4140563,37.78279311
01/25/2015 22:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE,4000 Block of 18TH ST,-122.4333433,37.76093326
01/25/2015 22:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,NORTHERN,NONE,500 Block of BIRCH ST,-122.4257306,37.77791092
01/25/2015 22:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,TARAVAL,"ARREST, BOOKED",TARAVAL ST / 26TH AV,-122.4831903,37.74271777
01/25/2015 22:00,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,SOUTHERN,NONE,100 Block of 3RD ST,-122.400916,37.78545749
01/25/2015 22:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,BAYVIEW,NONE,THORNTON AV / CERES ST,-122.3941616,37.73092863
01/25/2015 22:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,TARAVAL,NONE,200 Block of VERNON ST,-122.4679575,37.71701933
01/25/2015 21:54,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,SOUTHERN,"ARREST, BOOKED",400 Block of TEHAMA ST,-122.4054884,37.78013986
01/25/2015 21:46,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,INGLESIDE,"ARREST, BOOKED",4600 Block of MISSION ST,-122.4350413,37.72425605
01/25/2015 21:46,WARRANTS,WARRANT ARREST,Sunday,INGLESIDE,"ARREST, BOOKED",4600 Block of MISSION ST,-122.4350413,37.72425605
01/25/2015 21:24,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,TENDERLOIN,"ARREST, BOOKED",600 Block of OFARRELL ST,-122.4148078,37.7855029
01/25/2015 21:24,ASSAULT,THREATS AGAINST LIFE,Sunday,TENDERLOIN,"ARREST, BOOKED",600 Block of OFARRELL ST,-122.4148078,37.7855029
